Metric,Value
design__max_fanout_violation__count__corner:min_tt_025C_1v80,485
design__max_cap_violation__count__corner:min_tt_025C_1v80,10
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.45884933262826766
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4188563225926284
timing__hold__ws__corner:min_tt_025C_1v80,3.1343073468233578
timing__setup__ws__corner:min_tt_025C_1v80,10.863215523494041
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,3.134307
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,10.863215
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,146
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,839
design__max_fanout_violation__count__corner:min_ss_100C_1v60,485
design__max_cap_violation__count__corner:min_ss_100C_1v60,25
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.629057712614099
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.5617760859952133
timing__hold__ws__corner:min_ss_100C_1v60,3.0675642894089497
timing__setup__ws__corner:min_ss_100C_1v60,-2.052798877875353
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-10.035142778570785
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-2.052798877875353
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,6.354325
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,9
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-2.052799
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,9
timing__unannotated_net__count__corner:min_ss_100C_1v60,146
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,44
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,485
design__max_cap_violation__count__corner:min_ff_n40C_1v95,4
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.38827306357947683
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.3608778655828521
timing__hold__ws__corner:min_ff_n40C_1v95,2.0436819481838917
timing__setup__ws__corner:min_ff_n40C_1v95,14.565860041506799
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,2.043682
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,15.491489
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,146
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,322
design__max_fanout_violation__count__corner:max_tt_025C_1v80,485
design__max_cap_violation__count__corner:max_tt_025C_1v80,25
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.47128879910391674
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.41928614544876824
timing__hold__ws__corner:max_tt_025C_1v80,3.180554354355888
timing__setup__ws__corner:max_tt_025C_1v80,9.896409305489975
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,3.180554
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,9.896409
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,146
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1436
design__max_fanout_violation__count__corner:max_ss_100C_1v60,485
design__max_cap_violation__count__corner:max_ss_100C_1v60,46
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.651435923642855
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.5686723475300146
timing__hold__ws__corner:max_ss_100C_1v60,2.8304595024490964
timing__setup__ws__corner:max_ss_100C_1v60,-3.8527866432172755
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-49.2047092553412
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-3.8527866432172755
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,6.434391
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,36
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-3.852787
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,36
timing__unannotated_net__count__corner:max_ss_100C_1v60,146
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,77
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,485
design__max_cap_violation__count__corner:max_ff_n40C_1v95,19
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.3940753668260244
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.35847217875390563
timing__hold__ws__corner:max_ff_n40C_1v95,2.062345241844884
timing__setup__ws__corner:max_ff_n40C_1v95,14.04989764298535
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,2.062345
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,14.839359
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,146
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,146
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79967
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000325594
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000350747
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000237684
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000350747
design_powergrid__voltage__worst,0.000350747
design_powergrid__voltage__worst__net:VPWR,1.79967
design_powergrid__drop__worst,0.000350747
design_powergrid__drop__worst__net:VPWR,0.000325594
design_powergrid__voltage__worst__net:VGND,0.000350747
design_powergrid__drop__worst__net:VGND,0.000350747
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00002440000000000000016640334943307522053146385587751865386962890625
ir__drop__worst,0.000326000000000000009388323451986479994957335293292999267578125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
