Metric,Value
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,2478.23
timing__unannotated_net__count__corner:nom_tt_025C_1v80,221
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,221
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,221
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,1688
design__max_fanout_violation__count__corner:min_tt_025C_1v80,908
design__max_cap_violation__count__corner:min_tt_025C_1v80,144
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.8403068478891162
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.72711450030137
timing__hold__ws__corner:min_tt_025C_1v80,3.0133398851296613
timing__setup__ws__corner:min_tt_025C_1v80,7.490085208509327
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,3.013340
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.490085
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,221
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,4043
design__max_fanout_violation__count__corner:min_ss_100C_1v60,908
design__max_cap_violation__count__corner:min_ss_100C_1v60,213
clock__skew__worst_hold__corner:min_ss_100C_1v60,-1.3377255237727066
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.1236207837752892
timing__hold__ws__corner:min_ss_100C_1v60,2.2621491986576516
timing__setup__ws__corner:min_ss_100C_1v60,-8.087866605367552
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-2144.28502356837
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-8.087866605367552
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,6.153891
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,581
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-8.087867
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,581
timing__unannotated_net__count__corner:min_ss_100C_1v60,221
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,678
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,908
design__max_cap_violation__count__corner:min_ff_n40C_1v95,126
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.6350857797190892
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.562747753213846
timing__hold__ws__corner:min_ff_n40C_1v95,1.9233761794315858
timing__setup__ws__corner:min_ff_n40C_1v95,13.39141457849438
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,1.923376
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,13.391415
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,221
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,2544
design__max_fanout_violation__count__corner:max_tt_025C_1v80,908
design__max_cap_violation__count__corner:max_tt_025C_1v80,227
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.8836347459404417
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.7812921641899996
timing__hold__ws__corner:max_tt_025C_1v80,3.113961177054043
timing__setup__ws__corner:max_tt_025C_1v80,5.152264538620718
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,3.113961
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,5.152265
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,221
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,5490
design__max_fanout_violation__count__corner:max_ss_100C_1v60,908
design__max_cap_violation__count__corner:max_ss_100C_1v60,331
clock__skew__worst_hold__corner:max_ss_100C_1v60,-1.4547301552902294
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.2532262249340778
timing__hold__ws__corner:max_ss_100C_1v60,1.9607915845980532
timing__setup__ws__corner:max_ss_100C_1v60,-12.411657830586401
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-4252.775517894075
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-12.411657830586401
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,6.287051
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,772
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-12.411658
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,772
timing__unannotated_net__count__corner:max_ss_100C_1v60,221
