Metric,Value
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-2.2847919758406583
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,88
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,-2.284792
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,88
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,12.503929
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,683
design__max_fanout_violation__count__corner:max_tt_025C_1v80,568
design__max_cap_violation__count__corner:max_tt_025C_1v80,247
clock__skew__worst_hold__corner:max_tt_025C_1v80,-5.27157799000555
clock__skew__worst_setup__corner:max_tt_025C_1v80,3.260654949446548
timing__hold__ws__corner:max_tt_025C_1v80,-2.696788646503758
timing__setup__ws__corner:max_tt_025C_1v80,-0.6212666112961421
timing__hold__tns__corner:max_tt_025C_1v80,-217.41560989159893
timing__setup__tns__corner:max_tt_025C_1v80,-0.6212666112961421
timing__hold__wns__corner:max_tt_025C_1v80,-2.696788646503758
timing__setup__wns__corner:max_tt_025C_1v80,-0.6212666112961421
timing__hold_vio__count__corner:max_tt_025C_1v80,88
timing__hold_r2r__ws__corner:max_tt_025C_1v80,-2.696789
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,88
timing__setup_vio__count__corner:max_tt_025C_1v80,1
timing__setup_r2r__ws__corner:max_tt_025C_1v80,9.112482
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,923
design__max_fanout_violation__count__corner:max_ss_100C_1v60,568
design__max_cap_violation__count__corner:max_ss_100C_1v60,339
clock__skew__worst_hold__corner:max_ss_100C_1v60,-7.30396475086206
clock__skew__worst_setup__corner:max_ss_100C_1v60,5.134036452397687
timing__hold__ws__corner:max_ss_100C_1v60,-3.515964507945256
timing__setup__ws__corner:max_ss_100C_1v60,-27.0085330633863
timing__hold__tns__corner:max_ss_100C_1v60,-370.9777834374482
timing__setup__tns__corner:max_ss_100C_1v60,-74.62890960885842
timing__hold__wns__corner:max_ss_100C_1v60,-3.515964507945256
timing__setup__wns__corner:max_ss_100C_1v60,-27.0085330633863
timing__hold_vio__count__corner:max_ss_100C_1v60,261
timing__hold_r2r__ws__corner:max_ss_100C_1v60,-3.515965
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,88
timing__setup_vio__count__corner:max_ss_100C_1v60,34
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-2.984613
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,33
design__max_slew_violation__count__corner:max_ff_n40C_1v95,401
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,568
design__max_cap_violation__count__corner:max_ff_n40C_1v95,139
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-4.846269300811495
clock__skew__worst_setup__corner:max_ff_n40C_1v95,3.0072070129681823
timing__hold__ws__corner:max_ff_n40C_1v95,-2.3639615378765364
timing__setup__ws__corner:max_ff_n40C_1v95,11.30912107082346
timing__hold__tns__corner:max_ff_n40C_1v95,-191.37028148262294
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-2.3639615378765364
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,88
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,-2.363961
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,88
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,12.385382
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,923
design__max_fanout_violation__count,568
design__max_cap_violation__count,339
clock__skew__worst_hold,-4.307716083546062
clock__skew__worst_setup,2.3587541476545595
timing__hold__ws,-3.515964507945256
timing__setup__ws,-27.0085330633863
timing__hold__tns,-370.9777834374482
timing__setup__tns,-74.62890960885842
timing__hold__wns,-3.515964507945256
timing__setup__wns,-27.0085330633863
timing__hold_vio__count,978
timing__hold_r2r__ws,-3.515965
timing__hold_r2r_vio__count,792
timing__setup_vio__count,72
timing__setup_r2r__ws,-2.984613
timing__setup_r2r_vio__count,68
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__area,6.61799E+6
design__instance__count__stdcell,2
design__instance__area__stdcell,7.5072
design__instance__count__macros,9
design__instance__area__macros,6.61798E+6
design__instance__utilization,0.650481
design__instance__utilization__stdcell,0.00000211113
design__instance__count__class:macro,9
design__instance__count__class:multi_input_combinational_cell,2
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vssd1,7554
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vccd1,8170
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count,15724
design__instance__displacement__total,69.446
design__instance__displacement__mean,6.313
design__instance__displacement__max,53.22
route__wirelength__estimated,2.54444E+6
design__violations,0
antenna__violating__nets,252
antenna__violating__pins,253
route__antenna_violation__count,252
route__net,1936
route__net__special,8
route__drc_errors__iter:1,3086
route__wirelength__iter:1,2714595
route__drc_errors__iter:2,61
route__wirelength__iter:2,2713843
route__drc_errors__iter:3,36
route__wirelength__iter:3,2713589
route__drc_errors__iter:4,3
route__wirelength__iter:4,2713624
route__drc_errors__iter:5,3
route__wirelength__iter:5,2713628
route__drc_errors__iter:6,3
route__wirelength__iter:6,2713637
route__drc_errors__iter:7,3
route__wirelength__iter:7,2713640
route__drc_errors__iter:8,3
route__wirelength__iter:8,2713644
route__drc_errors__iter:9,2
route__wirelength__iter:9,2713669
route__drc_errors__iter:10,1
route__wirelength__iter:10,2713680
route__drc_errors__iter:11,1
route__wirelength__iter:11,2713683
route__drc_errors__iter:12,1
route__wirelength__iter:12,2713685
route__drc_errors__iter:13,1
route__wirelength__iter:13,2713691
route__drc_errors__iter:14,0
route__wirelength__iter:14,2713691
route__drc_errors,0
route__wirelength,2713691
route__vias,9591
route__vias__singlecut,9591
route__vias__multicut,0
design__disconnected_pin__count,95
design__critical_disconnected_pin__count,0
route__wirelength__max,10015.7
timing__unannotated_net__count__corner:nom_tt_025C_1v80,846
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,846
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,846
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,846
