# @generated by vyges-soc-generator
ref,role,part,manufacturer,mpn,distributor,distributor_sku,description
J1,header,pmod_2x6_male,,,,,Pmod plug mating with Arty A7 JB header
J2,header,pmod_2x6_female,,,,,ADXL355 EVAL-ADXL355-PMDZ Pmod receptacle
D1,led,led_green_0603,,,,,Activity indicator
R1,pullup,res_10k_0402,,,,,SPI MISO pull-up for idle high
